enhedsnummer,cvrnummer,vaerdinavn,vaerdi,vaerditype,sekvensnr,gyldigfra,gyldigtil,sidstopdateret
4001412589,27237525,BØRSNOTERET,true,boolean,0,2005-01-01,2014-09-04,
5528579,55660018,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
3261061,26685621,BØRSNOTERET,false,boolean,0,2017-10-23,2200-01-01,
3261061,26685621,BØRSNOTERET,true,boolean,0,2006-12-20,2017-10-22,
4756891,25078780,BØRSNOTERET,true,boolean,0,2007-01-01,2200-01-01,
3520258,21441406,BØRSNOTERET,false,boolean,0,2017-04-28,2200-01-01,
3520258,21441406,BØRSNOTERET,true,boolean,0,2005-01-01,2017-04-27,
2533355,31843219,BØRSNOTERET,true,boolean,0,2011-07-07,2200-01-01,
1374923,38454218,BØRSNOTERET,false,boolean,0,2019-03-08,2200-01-01,
1374923,38454218,BØRSNOTERET,true,boolean,0,2005-01-01,2019-03-07,
3853226,10349818,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000333089,22756214,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000769967,10007127,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
3325579,83839910,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000449896,89801915,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000865121,14194711,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
1604354,69749917,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001188468,71064719,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
968369,78040017,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000333862,58200115,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001153943,54879415,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
3078391,27439977,BØRSNOTERET,false,boolean,0,2016-04-13,2200-01-01,
3078391,27439977,BØRSNOTERET,true,boolean,0,2007-11-28,2016-04-12,
4001163088,58210617,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001430508,27492649,BØRSNOTERET,false,boolean,0,2007-01-01,2200-01-01,
4000841044,12867336,BØRSNOTERET,false,boolean,0,2013-07-29,2200-01-01,
4001110475,34411913,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001121673,34790515,BØRSNOTERET,true,boolean,0,2005-01-01,2015-03-31,
4001249946,89943728,BØRSNOTERET,true,boolean,0,2013-01-01,2015-08-17,
4001249946,89943728,BØRSNOTERET,false,boolean,0,2015-08-18,2200-01-01,
1846583,24257843,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
5107306,29217890,BØRSNOTERET,true,boolean,0,2010-11-03,2200-01-01,
849883,36469528,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001139200,43059211,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
1506573,34629218,BØRSNOTERET,true,boolean,0,2005-01-01,2016-01-28,
1506573,34629218,BØRSNOTERET,false,boolean,0,2016-01-29,2200-01-01,
4000666789,63717916,BØRSNOTERET,true,boolean,0,2005-12-23,2200-01-01,
1590913,36213728,BØRSNOTERET,true,boolean,0,2007-01-01,2200-01-01,
4001167085,56238514,BØRSNOTERET,true,boolean,0,1975-09-03,2014-12-12,
4000751335,58180912,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
2959919,70854910,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
2866438,57068515,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4696303,30828712,BØRSNOTERET,true,boolean,0,2005-01-01,2018-06-07,
3331794,25781309,BØRSNOTERET,false,boolean,0,2010-01-01,2200-01-01,
4000924216,16139084,BØRSNOTERET,true,boolean,0,2006-12-05,2200-01-01,
696033,41257911,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
2588156,24932818,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001067849,21315818,BØRSNOTERET,true,boolean,0,1939-11-30,2200-01-01,
4000888956,15359439,BØRSNOTERET,true,boolean,0,2005-01-01,2015-08-06,
4001492533,28504799,BØRSNOTERET,true,boolean,0,2007-01-01,2200-01-01,
4001587185,29801843,BØRSNOTERET,true,boolean,0,2010-12-08,2200-01-01,
4000406224,36696915,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4363090,40172319,BØRSNOTERET,true,boolean,0,2005-01-01,2016-12-21,
4807317,30731735,BØRSNOTERET,true,boolean,0,2007-08-01,2200-01-01,
4000333140,24257797,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
1506429,63049611,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000676936,55700117,BØRSNOTERET,true,boolean,0,2013-01-01,2017-10-23,
4000676936,55700117,BØRSNOTERET,false,boolean,0,2017-10-24,2200-01-01,
1479484,24256782,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4000903522,15908416,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001991898,35521585,BØRSNOTERET,true,boolean,0,2017-06-16,2200-01-01,
4142125,62816414,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
645683,42997811,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
3313298,30214315,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001844298,33395361,BØRSNOTERET,true,boolean,0,2016-06-10,2200-01-01,
4001146841,42578118,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4007600370,39488914,BØRSNOTERET,true,boolean,0,2018-06-07,2200-01-01,
3079669,62725214,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
2814521,63644919,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
1850249,43910515,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
5288456,20921897,BØRSNOTERET,false,boolean,0,2014-03-27,2200-01-01,
5288456,20921897,BØRSNOTERET,true,boolean,0,2013-01-01,2014-03-26,
2326333,65746018,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
4001113545,32788718,BØRSNOTERET,true,boolean,0,2005-01-01,2200-01-01,
3465027,28318677,BØRSNOTERET,true,boolean,0,2010-06-03,2200-01-01,
4006441068,37427497,BØRSNOTERET,true,boolean,0,2016-09-23,2018-02-11,
4006441068,37427497,BØRSNOTERET,false,boolean,0,2018-02-12,2200-01-01,
4001501670,28505116,BØRSNOTERET,true,boolean,0,2010-10-05,2200-01-01,
3156699,22460218,BØRSNOTERET,true,boolean,0,2005-01-01,2016-04-24,
3156699,22460218,BØRSNOTERET,false,boolean,0,2016-04-25,2200-01-01,
4001644046,30495683,BØRSNOTERET,true,boolean,0,2013-01-01,2200-01-01,
4001562211,29246491,BØRSNOTERET,true,boolean,0,2006-12-01,2200-01-01,
5936797,27652913,BØRSNOTERET,true,boolean,0,2018-06-08,2200-01-01,
4001441457,27475671,BØRSNOTERET,false,boolean,0,2018-11-06,2200-01-01,
4001441457,27475671,BØRSNOTERET,true,boolean,0,2018-08-17,2018-11-05,
