orgnavn,enhedsnummer_deltager,enhedsnummer_virksomhed,vaerdinavn,vaerdi,gyldigfra,gyldigtil,enhedstype_deltager,cvrnummer_deltager,cvrnummer_virksomhed
Revision,5125322,2665644,FUNKTION,REVISION,2010-09-29,2200-01-01,VIRKSOMHED,32895468,14728279
Revision,5125322,2870305,FUNKTION,REVISION,2017-08-01,2200-01-01,VIRKSOMHED,32895468,73693918
Revision,5125322,2870305,FUNKTION,REVISION,2012-07-01,2015-09-01,VIRKSOMHED,32895468,73693918
Revision,5651072,2870305,FUNKTION,REVISION,2015-09-01,2017-08-01,VIRKSOMHED,33963556,73693918
Revision,5125322,2870303,FUNKTION,REVISION,2013-08-01,2200-01-01,VIRKSOMHED,32895468,75007116
Revision,5125322,2500623,FUNKTION,REVISION,2016-05-01,2017-07-03,VIRKSOMHED,32895468,16960497
Revision,4000769917,2500623,FUNKTION,REVISION,2017-07-03,2200-01-01,VIRKSOMHED,33771231,16960497
Revision,4000769902,2500623,FUNKTION,REVISION,2013-01-01,2016-05-01,VIRKSOMHED,34884935,16960497
Revision,5125322,2537262,FUNKTION,REVISION,2015-06-18,2200-01-01,VIRKSOMHED,32895468,14322302
Revision,2165320,2537262,FUNKTION,REVISION,2010-02-10,2015-06-18,VIRKSOMHED,20222670,14322302
Revision,5125322,2711305,FUNKTION,REVISION,2013-07-10,2200-01-01,VIRKSOMHED,32895468,15513241
Revision,5125322,3050490,FUNKTION,REVISION,2010-09-29,2016-10-12,VIRKSOMHED,32895468,25551435
Revision,5538780,3050490,FUNKTION,REVISION,2016-10-12,2200-01-01,VIRKSOMHED,34209936,25551435
Revision,5125322,3084736,FUNKTION,REVISION,2010-09-24,2200-01-01,VIRKSOMHED,32895468,15883944
Revision,5125322,2683366,FUNKTION,REVISION,2016-06-30,2200-01-01,VIRKSOMHED,32895468,73192714
Revision,5766347,2683366,FUNKTION,REVISION,2013-02-01,2016-06-30,VIRKSOMHED,34713022,73192714
Revision,5125322,2670995,FUNKTION,REVISION,2014-10-23,2200-01-01,VIRKSOMHED,32895468,26032830
Revision,2165320,2670995,FUNKTION,REVISION,2001-04-24,2014-10-23,VIRKSOMHED,20222670,26032830
Revision,5125322,2831597,FUNKTION,REVISION,2016-05-24,2200-01-01,VIRKSOMHED,32895468,87220710
Revision,5766347,2831597,FUNKTION,REVISION,2013-01-17,2016-05-24,VIRKSOMHED,34713022,87220710
Revision,5125322,2471447,FUNKTION,REVISION,2013-07-01,2200-01-01,VIRKSOMHED,32895468,52953413
Revision,5125322,2431052,FUNKTION,REVISION,2011-08-17,2200-01-01,VIRKSOMHED,32895468,13451532
Revision,5125322,2366910,FUNKTION,REVISION,2016-05-24,2200-01-01,VIRKSOMHED,32895468,24208761
Revision,5766347,2366910,FUNKTION,REVISION,2013-01-14,2016-05-24,VIRKSOMHED,34713022,24208761
Revision,5125322,2450535,FUNKTION,REVISION,2016-11-23,2200-01-01,VIRKSOMHED,32895468,20864591
Revision,4751597,2450535,FUNKTION,REVISION,2012-05-30,2016-11-23,VIRKSOMHED,30700228,20864591
Revision,5125322,2493702,FUNKTION,REVISION,2017-09-12,2200-01-01,VIRKSOMHED,32895468,20665947
Revision,5105513,2493702,FUNKTION,REVISION,2011-04-01,2017-09-12,VIRKSOMHED,26052394,20665947
Revision,5125322,2898148,FUNKTION,REVISION,2016-04-26,2200-01-01,VIRKSOMHED,32895468,38425919
Revision,2909281,2898148,FUNKTION,REVISION,1995-07-28,2016-05-01,VIRKSOMHED,43622811,38425919
Revision,5125322,2335530,FUNKTION,REVISION,2010-09-24,2200-01-01,VIRKSOMHED,32895468,12863233
Revision,5125322,2546965,FUNKTION,REVISION,2010-09-24,2200-01-01,VIRKSOMHED,32895468,20659548
Revision,5125322,2594525,FUNKTION,REVISION,2011-01-01,2200-01-01,VIRKSOMHED,32895468,25859235
Revision,5125322,2386236,FUNKTION,REVISION,2010-09-24,2016-10-03,VIRKSOMHED,32895468,73342619
Revision,5651072,2386236,FUNKTION,REVISION,2016-10-03,2019-04-17,VIRKSOMHED,33963556,73342619
Revision,4000769917,2386236,FUNKTION,REVISION,2019-04-17,2200-01-01,VIRKSOMHED,33771231,73342619
Revision,5125322,2740673,FUNKTION,REVISION,2010-10-07,2200-01-01,VIRKSOMHED,32895468,21657530
Revision,5125322,2695758,FUNKTION,REVISION,2013-08-01,2014-09-18,VIRKSOMHED,32895468,43119613
Revision,2165320,2695758,FUNKTION,REVISION,2014-11-18,2200-01-01,VIRKSOMHED,20222670,43119613
Revision,5125322,2912831,FUNKTION,REVISION,2015-11-27,2019-06-27,VIRKSOMHED,32895468,26109884
Revision,4000769917,2912831,FUNKTION,REVISION,2011-07-01,2015-11-27,VIRKSOMHED,33771231,26109884
Revision,4005980381,2912831,FUNKTION,REVISION,2019-06-27,2200-01-01,VIRKSOMHED,36717785,26109884
Revision,5125322,3837771,FUNKTION,REVISION,2010-09-30,2014-08-04,VIRKSOMHED,32895468,20408146
Revision,5125322,4001065,FUNKTION,REVISION,2017-05-10,2200-01-01,VIRKSOMHED,32895468,21695882
Revision,3798439,4001065,FUNKTION,REVISION,2014-08-06,2017-05-10,VIRKSOMHED,29442789,21695882
Revision,4000762187,4001065,FUNKTION,REVISION,2013-09-02,2014-08-06,VIRKSOMHED,30506804,21695882
Revision,5125322,3864660,FUNKTION,REVISION,2010-10-05,2200-01-01,VIRKSOMHED,32895468,15179945
Revision,5125322,3186504,FUNKTION,REVISION,2010-09-25,2200-01-01,VIRKSOMHED,32895468,17490176
Revision,5125322,3604386,FUNKTION,REVISION,2010-09-13,2015-09-30,VIRKSOMHED,32895468,21516430
Revision,5125322,3149936,FUNKTION,REVISION,2010-10-15,2200-01-01,VIRKSOMHED,32895468,11862233
Revision,5125322,3576005,FUNKTION,REVISION,2012-11-13,2015-10-14,VIRKSOMHED,32895468,25651049
Revision,5125322,3990527,FUNKTION,REVISION,2018-08-01,2200-01-01,VIRKSOMHED,32895468,21244287
Revision,5651072,3990527,FUNKTION,REVISION,2014-11-26,2018-08-01,VIRKSOMHED,33963556,21244287
Revision,3926876,3990527,FUNKTION,REVISION,1999-12-01,2014-11-26,VIRKSOMHED,67050428,21244287
Revision,5125322,3977573,FUNKTION,REVISION,2016-05-01,2200-01-01,VIRKSOMHED,32895468,15136502
Revision,4000769902,3977573,FUNKTION,REVISION,2013-01-01,2016-05-01,VIRKSOMHED,34884935,15136502
Revision,5125322,3351329,FUNKTION,REVISION,2011-01-01,2017-05-15,VIRKSOMHED,32895468,20420472
Revision,5125322,3960802,FUNKTION,REVISION,2010-09-13,2200-01-01,VIRKSOMHED,32895468,25685458
Revision,5125322,4028466,FUNKTION,REVISION,2010-10-20,2200-01-01,VIRKSOMHED,32895468,26142806
Revision,5125322,3523310,FUNKTION,REVISION,2010-09-24,2200-01-01,VIRKSOMHED,32895468,10132754
Revision,5125322,3580731,FUNKTION,REVISION,2011-01-01,2017-05-15,VIRKSOMHED,32895468,17464582
Revision,5125322,3122088,FUNKTION,REVISION,2013-06-20,2200-01-01,VIRKSOMHED,32895468,27582206
Revision,5125322,3320879,FUNKTION,REVISION,2012-11-20,2014-09-24,VIRKSOMHED,32895468,10133513
Revision,4407526,3320879,FUNKTION,REVISION,2014-09-24,2016-08-25,VIRKSOMHED,77926410,10133513
Revision,4006573684,3320879,FUNKTION,REVISION,2016-08-25,2200-01-01,VIRKSOMHED,37821055,10133513
Revision,5125322,3943407,FUNKTION,REVISION,2010-10-01,2200-01-01,VIRKSOMHED,32895468,29841780
Revision,5125322,3238584,FUNKTION,REVISION,2016-06-30,2200-01-01,VIRKSOMHED,32895468,26768705
Revision,5766347,3238584,FUNKTION,REVISION,2013-02-06,2016-06-30,VIRKSOMHED,34713022,26768705
Revision,5125322,3131123,FUNKTION,REVISION,2010-09-30,2200-01-01,VIRKSOMHED,32895468,25776380
Revision,5125322,3248873,FUNKTION,REVISION,2016-03-30,2200-01-01,VIRKSOMHED,32895468,11587488
Revision,5766347,3248873,FUNKTION,REVISION,2013-02-26,2016-03-30,VIRKSOMHED,34713022,11587488
Revision,5125322,3346201,FUNKTION,REVISION,2010-10-06,2200-01-01,VIRKSOMHED,32895468,21309877
Revision,5125322,3569966,FUNKTION,REVISION,2010-09-28,2015-11-16,VIRKSOMHED,32895468,27510280
Revision,4751597,3569966,FUNKTION,REVISION,2015-11-16,2200-01-01,VIRKSOMHED,30700228,27510280
Revision,5125322,3236290,FUNKTION,REVISION,2010-09-28,2016-03-09,VIRKSOMHED,32895468,27989586
Revision,4000769917,3236290,FUNKTION,REVISION,2016-03-09,2200-01-01,VIRKSOMHED,33771231,27989586
Revision,5125322,3515034,FUNKTION,REVISION,2010-09-27,2017-12-14,VIRKSOMHED,32895468,28995962
Revision,4001991026,3515034,FUNKTION,REVISION,2017-12-14,2200-01-01,VIRKSOMHED,25578198,28995962
Revision,5125322,3851619,FUNKTION,REVISION,2012-12-07,2200-01-01,VIRKSOMHED,32895468,28659679
Revision,5125322,3479677,FUNKTION,REVISION,2018-12-17,2200-01-01,VIRKSOMHED,32895468,27444962
Revision,5651072,3479677,FUNKTION,REVISION,2011-10-13,2018-12-17,VIRKSOMHED,33963556,27444962
Revision,5125322,3418895,FUNKTION,REVISION,2016-05-01,2200-01-01,VIRKSOMHED,32895468,28707843
Revision,4000769902,3418895,FUNKTION,REVISION,2013-01-01,2016-05-01,VIRKSOMHED,34884935,28707843
Revision,5125322,3947850,FUNKTION,REVISION,2013-07-19,2200-01-01,VIRKSOMHED,32895468,24429113
Revision,5125322,3180453,FUNKTION,REVISION,2013-08-01,2200-01-01,VIRKSOMHED,32895468,15047844
Revision,5125322,3570841,FUNKTION,REVISION,2013-08-01,2200-01-01,VIRKSOMHED,32895468,15094990
Revision,5125322,3509252,FUNKTION,REVISION,2010-09-13,2200-01-01,VIRKSOMHED,32895468,20832177
Revision,5125322,3614509,FUNKTION,REVISION,2015-06-18,2200-01-01,VIRKSOMHED,32895468,25707826
Revision,2165320,3614509,FUNKTION,REVISION,2010-02-10,2015-06-18,VIRKSOMHED,20222670,25707826
Revision,5125322,3137472,FUNKTION,REVISION,2010-09-24,2200-01-01,VIRKSOMHED,32895468,11167780
Revision,5125322,3306245,FUNKTION,REVISION,2016-05-01,2200-01-01,VIRKSOMHED,32895468,69841414
Revision,5766347,3306245,FUNKTION,REVISION,2013-03-01,2016-05-01,VIRKSOMHED,34713022,69841414
Revision,5125322,3139543,FUNKTION,REVISION,2017-08-01,2018-08-27,VIRKSOMHED,32895468,21427993
Revision,5651072,3139543,FUNKTION,REVISION,2011-10-13,2017-08-01,VIRKSOMHED,33963556,21427993
Revision,5125322,3514735,FUNKTION,REVISION,2016-05-01,2017-09-29,VIRKSOMHED,32895468,26990777
Revision,5766347,3514735,FUNKTION,REVISION,2013-01-18,2016-05-01,VIRKSOMHED,34713022,26990777
Revision,4000769917,3514735,FUNKTION,REVISION,2017-09-29,2200-01-01,VIRKSOMHED,33771231,26990777
Revision,5125322,4079296,FUNKTION,REVISION,2017-08-01,2200-01-01,VIRKSOMHED,32895468,75633815
Revision,5651072,4079296,FUNKTION,REVISION,2011-10-13,2017-08-01,VIRKSOMHED,33963556,75633815
Revision,5125322,3351924,FUNKTION,REVISION,2016-05-01,2200-01-01,VIRKSOMHED,32895468,39436515
Revision,5766347,3351924,FUNKTION,REVISION,2013-03-01,2016-05-01,VIRKSOMHED,34713022,39436515
Revision,5125322,3306247,FUNKTION,REVISION,2016-05-01,2200-01-01,VIRKSOMHED,32895468,14009914
Revision,5766347,3306247,FUNKTION,REVISION,2013-03-01,2016-05-01,VIRKSOMHED,34713022,14009914
Revision,5125322,3223380,FUNKTION,REVISION,2016-05-24,2200-01-01,VIRKSOMHED,32895468,20460598
Revision,5766347,3223380,FUNKTION,REVISION,2013-01-17,2016-05-24,VIRKSOMHED,34713022,20460598
Revision,5125322,3903620,FUNKTION,REVISION,2010-10-22,2200-01-01,VIRKSOMHED,32895468,11718841
Revision,5125322,3520258,FUNKTION,REVISION,2016-09-27,2018-02-08,VIRKSOMHED,32895468,21441406
Revision,4751597,3520258,FUNKTION,REVISION,2016-01-13,2016-01-18,VIRKSOMHED,30700228,21441406
Revision,4751597,3520258,FUNKTION,REVISION,2016-01-19,2016-09-27,VIRKSOMHED,30700228,21441406
Revision,5651072,3520258,FUNKTION,REVISION,2011-10-28,2015-10-23,VIRKSOMHED,33963556,21441406
Revision,2165320,3520258,FUNKTION,REVISION,2015-10-23,2015-12-14,VIRKSOMHED,20222670,21441406
Revision,5125322,3655535,FUNKTION,REVISION,2016-05-01,2017-04-26,VIRKSOMHED,32895468,35855513
Revision,5766347,3655535,FUNKTION,REVISION,2015-01-21,2016-05-01,VIRKSOMHED,34713022,35855513
Revision,5766347,3655535,FUNKTION,REVISION,2013-02-28,2015-01-21,VIRKSOMHED,34713022,35855513
Revision,5125322,3655532,FUNKTION,REVISION,2016-05-23,2200-01-01,VIRKSOMHED,32895468,37904228
Revision,5766347,3655532,FUNKTION,REVISION,2013-03-01,2016-05-23,VIRKSOMHED,34713022,37904228
Revision,5125322,3349603,FUNKTION,REVISION,2016-07-11,2200-01-01,VIRKSOMHED,32895468,17817841
Revision,4268465,3349603,FUNKTION,REVISION,2005-01-06,2016-07-11,VIRKSOMHED,28113374,17817841
Revision,5125322,3460258,FUNKTION,REVISION,2016-05-01,2018-08-26,VIRKSOMHED,32895468,28865961
Revision,4000769902,3460258,FUNKTION,REVISION,2013-01-01,2016-05-01,VIRKSOMHED,34884935,28865961
Revision,5125322,3655528,FUNKTION,REVISION,2016-05-01,2200-01-01,VIRKSOMHED,32895468,54246315
Revision,5766347,3655528,FUNKTION,REVISION,2013-02-28,2014-04-23,VIRKSOMHED,34713022,54246315
Revision,5766347,3655528,FUNKTION,REVISION,2014-04-23,2016-05-01,VIRKSOMHED,34713022,54246315
Revision,5125322,3592374,FUNKTION,REVISION,2011-08-12,2014-05-31,VIRKSOMHED,32895468,28688741
Revision,5651072,3592374,FUNKTION,REVISION,2014-05-31,2200-01-01,VIRKSOMHED,33963556,28688741
